丛	cle · 人 1
葱	clz · ⺾ 心
琮	cla · 王 八
淙	clk · ⺡ 八
熜	clt · 火 心
枞	clw · 木 人
悰	cln · 忄 八
踩	cdg · 足旁 木
促	cux · 亻 足
蹭	cgg · 足旁 日
蹙	cur · 厂 足
蹿	crg · 足旁 十
蹉	cog · 足旁 工
蹴	cug · 足旁 4
跐	cig · 足旁 匕
层	cgq · 尸 厶
匆	csi · 勿 4
囱	csu · 3 夂
侧	cex · 亻 ⺉
策	cen · 竹头 木无十
册	cej · 册 册
厕	cer · 厂 ⺉
测	cek · ⺡ ⺉
醋	cup · 西 日
岑	cfp · 山 5
喰	cjo · 口 4
吋	cyo · 口 寸
采	cdh · ⺤ 木
辞	cis · 千 干
赐	cim · 贝 勿
草	cc · ⺾ 十
菜	cd · ⺾ 木
藏	ch · ⺾ 5
次	ci · 冫 人
参	cj · 厶 3
从	cl · 人 人
错	co · 钅 日
此	c · 止 匕
蚕	cju · 二 虫
汆	cre · 入 水
肏	cce · 入 人
艸	ccr · 5 2
搓	coj · ⺘ 工
莪	ccwo · ⺾ 4
菿	cczi · ⺾ ⺉
艹	cczz · ⺾ ⺾
彩	cdhu · ⺤ 3
疵	cima · 疒 匕
茈	ciza · ⺾ 匕
莿	cizi · ⺾ ⺉
掺	cjju · ⺘ 3
䅟	cjuu · 3 3
撮	cojl · ⺘ 又
邨	cydb · 1 阝
茓	ccxt · ⺾ 八
粹	cvls · 米 十
惭	cjnp · 忄 2
挫	cojg · ⺘ 土
睬	cdsw · 目 木
撺	crjp · ⺘ 十
兹	cifp · 丷 厶
差	cifp · 丷 工
粲	cjpl · 2 米
鹚	cifc · 丷 鸟
黪	cjnu · 囗 3
佽	cixe · 亻 人
漼	cvka · ⺡ 龶
鸧	chec · 全字头 鸟
𥕢	cctv · 石 日
措	cojv · ⺘ 日
慈	cifn · 丷 心
骢	clzn · 马 心
璁	clan · 王 心
苁	clze · ⺾ 人
𫚖	cirq · 止 鱼
恻	ceni · 忄 ⺉
麤	cura · 广 匕
东	dsd · 东二 八
底	dir · 广 4
电	dme · 电 电
断	drl · 米 2
低	dix · 亻 4
单	djf · 丷 十
殚	djf · 歹 十
淡	djk · ⺡ 火
段	dru · 3 又
帝	dii · 亠 巾
答	dan · 竹头 口
殿	dmq · 尸 又
店	dmr · 广 口
担	djj · ⺘ 1
洞	dsk · ⺡ 口
毒	dua · 龶 4
端	drb · 立 而
独	dub · ⺨ 虫
懂	dsn · 忄 里无日
盯	dks · 目 丁
调	dnc · 讠 口
弹	djr · 5 十
躲	dou · 3 木
挡	dhj · ⺘ ⺕
瞪	dgs · 目 1
读	duc · 讠 大
抵	dij · ⺘ 4
抖	dzj · ⺘ 十
登	dgr · 5 1
董	dsz · ⺾ 里无日
旦	djv · 日 1
夺	dox · 大 寸
胆	djl · 月 1
膻	djl · 月 1
堆	dvg · 土 龶
滴	dik · ⺡ 口
典	dmp · 2 八
冬	dsj · 夂 4
肚	dul · 月 土
赌	dum · 贝 日
盾	dyu · 3 目
杜	duw · 木 土
叮	dko · 口 丁
渡	duk · ⺡ 又
订	dkc · 讠 丁
蒂	diz · ⺾ 巾
咚	dso · 口 4
档	dhw · 木 ⺕
迪	div · 日 辶
堕	dob · 阝 土
堵	dug · 土 日
陡	dzb · 阝 走
栋	dsw · 木 八
党	dhh · ⺌ 儿
锻	drd · 钅 又
邓	dgl · 又 阝
督	dup · 2 目
嘟	duo · 口 阝
狄	dib · ⺨ 火
诞	djc · 讠 廴
嘀	dio · 口 口
棣	diw · 木 ⺢
沌	dyk · ⺡ 5
耽	djd · 1 儿
钉	dkd · 钅 丁
冻	dsf · 冫 八
颠	dms · 十 贝
惮	djn · 忄 十
箪	djn · 竹头 十
哒	dao · 口 辶
兑	dvf · 丷 儿
钓	dnd · 钅 4
垫	dmj · ⺘ 土
嫡	diy · 女 口
睹	dus · 目 日
妒	duy · 女 户
邸	diu · 3 阝
捣	dcj · ⺘ 山
窦	dzi · 宀 大
吨	dyo · 口 5
祷	dch · ⺭ 寸
笃	dun · 竹头 马
噔	dgo · 口 1
碟	dpt · 石 木
甸	dmu · 3 田
舵	dot · 舟 匕
瘩	dam · 疒 口
鞑	dav · 廿 辶
惦	dmn · 忄 口
眈	djs · 目 儿
刁	dnr · 5 1
怼	dvl · 又 心
谍	dpc · 讠 木
癫	dmm · 疒 贝
翟	did · 习 龶
炖	dyt · 火 5
敦	dyi · 亠 攵
堤	dig · 土 疋字底
痘	dzm · 疒 1
淀	dmk · ⺡ 疋字底
铎	dod · 钅 十
缎	dre · ⺰ 又
石	djt · 石 石
喋	dpo · 口 木
佃	dmx · 亻 田
奠	dmf · 丷 大
凋	dnf · 冫 口
貂	dnu · 3 口
缔	die · ⺰ 巾
镀	dud · 钅 又
嘚	deo · 口 寸
悼	dcn · 忄 十
谛	dic · 讠 巾
纛	dca · 龶 八
碓	dvt · 石 龶
盹	dys · 目 5
惰	don · 忄 青字底
囤	dyn · 囗 5
玷	dma · 王 口
掇	doj · ⺘ 又
碉	dnt · 石 口
砥	dit · 石 4
仃	dkx · 亻 丁
宕	dhi · 宀 石
叨	dco · 口 刀
煅	drt · 火 又
铛	dhd · 钅 ⺕
腚	dkl · 月 疋字底
镫	dgd · 钅 1
珰	dha · 王 ⺕
町	dkw · 田 丁
碘	dmt · 石 八
蚪	dzf · 虫 十
褡	dah · ⻂ 口
妲	day · 女 1
胴	dsl · 月 口
钿	dmd · 钅 田
儋	djx · 亻 言
澄	dgk · ⺡ 1
砀	dht · 石 3
碇	dkt · 石 疋字底
裰	doh · ⻂ 又
侗	dsx · 亻 口
驮	doz · 马 大
疸	djm · 疒 1
氘	dcs · 气 2
昳	dpv · 日 失
峒	dsp · 山 口
楪	dpw · 木 木
篼	dzn · 竹头 儿
亶	dji · 亠 1
氡	dss · 气 4
萏	djz · ⺾ 臼
椴	drw · 木 又
玎	dka · 王 丁
蔸	dzz · ⺾ 儿
锝	ded · 钅 寸
戥	dgv · 日 戈
硐	dst · 石 口
丢	dqu · 千 厶
倒	dcx · 亻 ⺉
凼	dho · 水 2
到	dcd · 1 ⺉
剟	dol · 又 ⺉
丼	dsu · 二 4
嗲	dxo · 口 夕
地	deg · 土 5
垌	dsg · 土 口
垱	dhg · 土 ⺕
塅	drg · 土 又
多	dof · 夕 夕
定	dki · 宀 疋字底
嶝	dgp · 山 1
帱	dcy · 巾 寸
度	dor · 广 又
扽	dfj · ⺘ 5
掉	dnj · ⺘ 十
斗	dzh · ⺡ 2
汈	dnk · ⺡ 1
溚	dak · ⺡ 口
炟	dat · 火 1
玓	dia · 王 4
瑖	dra · 王 又
璒	dga · 王 1
疔	dkm · 疒 丁
的	des · 白 4
祋	dvh · ⺭ 又
禘	dih · ⺭ 巾
窎	dni · 宀 鸟
等	dgn · 竹头 寸
筜	dhn · 竹头 ⺕
簖	drn · 竹头 2
耑	drp · 山 而
芏	duz · ⺾ 土
荙	daz · ⺾ 辶
萣	dkz · ⺾ 疋字底
谠	dhc · 讠 儿
都	dzg · 土 阝
铥	dqd · 钅 厶
阽	dmb · 阝 口
𨱏	dad · 钅 口
𫶇	dpp · 山 巾
𬍡	dhk · ⺡ 玉
𬘘	dje · ⺰ 儿
德	deh · 彳 心
盗	dcf · 冫 皿
屌	dnq · 尸 巾
鱽	dcq · 鱼 刀
蹲	dyg · 足旁 寸
跌	dpg · 足旁 失
蹬	dgg · 足旁 1
跺	dog · 足旁 木
垛	dog · 土 木
蹈	dcg · 足旁 臼
踮	dmg · 足旁 口
跶	dag · 足旁 辶
鲽	dpq · 鱼 木
兜	dzu · 白 儿
爹	dpf · 八 夕
队	dvb · 阝 人
刀	dci · 刀 刀
丹	dju · ⺆ 亠
递	dif · 丷 辶
打	daj · ⺘ 丁
钝	dyd · 钅 5
龘	dab · 立 三
㨃	dvj · 
泆	dpk · ⺡ 失
怠	ddp · 厶 心
遯	dyl · 月 辶
待	ddh · 彳 寸
歹	ddf · 歹 歹
呆	ddo · 口 木
戴	dds · 土 八
逮	ddr · 5 辶
玳	dda · 王 弋
叇	ddu · 二 辶
绐	dde · ⺰ 口
轪	ddt · 车旁 大
带	ddz · 带字头 巾
代	ddx · 亻 弋
妉	djy · 女 儿
迭	dpe · 失 辶
叠	dpl · 又 三
荡	dhz · ⺾ 3
牍	duu · 3 大
牒	dpu · 3 木
唞	dzo · 口 十
姛	dsy · 女 口
敌	dis · 千 攵
顶	dkj · 丁 贝
大	da · 大 大
当	dh · ⺌ ⺕
弟	di · 丷 3
但	dj · 亻 1
点	dm · 2 灬
丶	dm · 4 4
短	dr · 卧人 1
动	ds · 二 力
对	dv · 又 寸
顿	dy · 1 贝
导	dct · 巳 寸
灯	dgt · 火 丁
酊	dkp · 西 丁
哆	doo · 口 夕
吊	dno · 口 巾
豆	dzd · 1 1
朵	doi · 几 木
第	din · 竹头 3
岛	dcu · 3 山
达	dax · 大 辶
龖	dabu · 立 三
怛	dand · 忄 1
笪	dand · 竹头 1
捯	dcji · ⺘ ⺉
忉	dcni · 忄 刀
舠	dcti · 舟 刀
埭	ddgo · 土 ⺢
垈	ddxg · 亻 土
袋	ddxk · 亻 衣
贷	ddxm · 亻 贝
黛	ddxn · 亻 灬
傣	ddxo · 亻 ⺢
岱	ddxp · 亻 山
骀	ddzo · 马 口
磴	dgtd · 石 1
裆	dhhs · ⻂ ⺕
诋	dich · 讠 4
骶	dich · 骨 4
髢	didr · 1 5
鍉	diee · 全字头 疋字底
羝	difh · 丷 4
踶	dige · 足旁 疋字底
蹢	digo · 足旁 口
坻	digh · 土 4
笛	dinp · 竹头 十
睇	disu · 目 3
䃅	dits · 石 十
氐	diuh · 3 4
鞮	dive · 廿 疋字底
柢	diwh · 木 4
杕	diwx · 木 大
俤	dixh · 亻 3
娣	diyu · 女 3
媂	diyy · 女 巾
茋	dizh · ⺾ 4
菂	dizh · ⺾ 4
聃	djdg · 1 里无日
郸	djfb · 丷 阝
澹	djkc · ⺡ 言
蛋	djrf · 5 虫
耵	dkdj · 1 丁
坫	dmgo · 土 口
癜	dmml · 疒 又
簟	dmns · 竹头 十
巅	dmpm · 山 贝
铫	dndh · 钅 4
铞	dndy · 钅 巾
隳	dobi · 阝 横两点
剁	doii · 几 ⺉
亸	dois · 亠 十
鸫	dsdc · 东二 鸟
胨	dslf · 月 八
岽	dspf · 山 八
蠹	dudf · 1 虫
趸	dydg · 1 足
墩	dygj · 土 攵
礅	dytj · 石 攵
遁	dyuq · 3 辶
钭	dzds · 钅 十
镦	dydj · 钅 攵
丁	dkjj · 丁 丁
搭	dajo · ⺘ 口
鼎	dksr · 目 5
逗	dzdq · 1 辶
凳	dgri · 5 几
嗒	daoo · 口 口
稻	dcus · 3 臼
叼	dnod · 口 1
掂	dmjo · ⺘ 口
提	dije · ⺘ 疋字底
咄	doop · 口 山
锭	dkde · 钅 疋字底
掸	djjs · ⺘ 十
惇	dyna · 忄 子
氮	djst · 气 火
滇	dmkf · ⺡ 八
荻	dizt · ⺾ 火
恫	dsno · 忄 口
靛	dmae · 龶 疋字底
琔	dmae · 王 疋字底
啖	djot · 口 火
髑	ducf · 骨 虫
哚	doow · 口 木
沓	daov · 水 日
啶	dkoe · 口 疋字底
堞	dpgw · 土 木
蹀	dpgw · 足旁 木
疍	djrd · 5 1
赕	djmt · 贝 火
阇	duov · 门 日
踱	dogl · 足旁 又
㙍	dogl · 土 又
䗖	dify · 虫 巾
耋	dpgg · 土 土
垤	dpgg · 土 土
埵	dogg · 土 二
瘅	djms · 疒 十
砘	dytr · 石 5
碲	dity · 石 巾
道	dcfq · 丷 辶
饳	dogp · ⺈ 山
鿎	datq · 石 辶
𣗋	dhwk · 木 儿
𤧛	diay · 王 巾
𫟼	dadq · 钅 辶
𫢸	djxs · 亻 十
𬟽	dsff · 虫 八
𬭊	dudg · 钅 土
𬱖	divm · 日 贝
島	dcup · 3 山
雕	dnoa · ⺆ 龶
蝶	dpfw · 虫 木
菪	dhzt · ⺾ 石
厾	durp · 5 厶
垯	dagq · 土 辶
得	dehk · 彳 寸
绖	dpeg · ⺰ 土
鲷	dnqo · 鱼 口
殆	ddfo · 歹 口
呔	ddoh · 口 4
迨	ddpq · 厶 辶
渎	dukx · ⺡ 大
犊	dubx · 牜 大
椟	duwx · 木 大
弔	dnrp · 5 2
黩	dunx · 囗 大
瓞	dpue · 3 失
哋	dior · 口 5
喥	dool · 口 又
啲	dioh · 口 4
掟	dkje · ⺘ 疋字底
憺	djnc · 忄 言
