阿	tz_· 阝可 ·a
拝	ufaf2· 扌一丰 ·bai
韛	gltt2· 韋龷丿 ·bai
唄	dob4· 口貝 ·bai
办	sh_· 力八 ·ban
班	np_· 王王 ·ban
半	hu_· 丷 ·ban
版	ax_· 片⺁又 ·ban
搬	uir_· 扌舟殳 ·ban
般	irs_· 舟殳 ·ban
板	exr_· 木⺁又 ·ban
伴	jhu_· 亻丷 ·ban
扳	uxr_· 扌⺁又 ·ban
坂	gxr_· 土⺁又 ·ban
斑	nvn_· 王文王 ·ban
颁	hpw_· 八刀页 ·ban
拌	uhu_· 扌丷 ·ban
瓣	nyn_· 瓜辛 ·ban
绊	ihu_· 纟丷 ·ban
扮	uhp_· 扌八刀 ·ban
阪	txr_· 阝⺁又 ·ban
钣	zxr_· 钅⺁又 ·ban
舨	ixr_· 舟⺁又 ·ban
瘢	air_· 疒舟殳 ·ban
癍	anvn· 疒王文王 ·ban
览	pre_· 〢见 ·ban
靽	thus2· 革丷 ·ban
蝂	cax_· 虫片⺁又 ·ban
螌	irc_· 舟殳虫 ·ban
肦	vhpd4· ⺼八刀 ·ban
褩	irt_· 舟殳衣 ·ban
覂	vtri· 覀丿之 ·ban
絆	ihus2· 糹丷 ·ban
粄	pxr_· 米⺁又 ·ban
籓	rktq· ⺮氵丿米田 ·ban
秚	xhu_· 禾丷 ·ban
瓪	rxr_· 瓦⺁又 ·ban
跘	phu_· ⻊丷 ·ban
湴	khc_· 氵䒑业 ·ban
辦	nsnx2· 力辛 ·ban
辬	nvnx· 文辛 ·ban
鈑	zxry2· 金⺁又 ·ban
鉡	zhu_· 金丷 ·ban
柈	ehu_· 木丷 ·ban
朌	vhpd3· 月八刀 ·ban
昄	oxry2· 日⺁又 ·ban
斒	vmic· 文户 ·ban
攽	hphp· 八刀攵 ·ban
闆	addd· 門口口口 ·ban
怑	hhus2· 忄丷 ·ban
頒	hpwy2· 八刀頁 ·ban
岅	vxr_· 山⺁又 ·ban
姅	bhu_· 女丷 ·ban
埿	kcvg· 氵尸匕土 ·ban
坢	ghu_· 土丷 ·ban
魬	wxr_· 魚⺁又 ·ban
鳻	hpx_· 八刀鳥 ·ban
帮	at_· 阝巾 ·bang
棒	eaiu· 木㇏ ·bang
榜	eiw_· 木冖方 ·bang
傍	jiw_· 亻冖方 ·bang
绑	iat_· 纟阝 ·bang
邦	ate_· 阝 ·bang
镑	ziw_· 钅冖方 ·bang
磅	miw_· 石冖方 ·bang
浜	kthb· 氵 ·bang
蚌	caf_· 虫丰 ·bang
梆	eat_· 木阝 ·bang
谤	siw_· 讠冖方 ·bang
膀	viw_· 月冖方 ·bang
蒡	liwl· 艹冖方 ·bang
搒	uiw_· 扌冖方 ·bang
蚄	clf_· 虫方 ·bang
蛖	coes· 虫尤彡 ·bang
蜯	caiu· 虫㇏ ·bang
艕	iiwl2· 舟冖方 ·bang
縍	iiwl· 糹冖方 ·bang
綁	iate2· 糹阝 ·bang
紡	ilf3· 糹方 ·bang
稖	xidk· 禾立口 ·bang
謗	siwl2· 言冖方 ·bang
硥	moes2· 石尤彡 ·bang
玤	naf_· 王丰 ·bang
牓	aiwl2· 片冖方 ·bang
濱	kwfo· 氵宀一貝 ·bang
邫	adm_· 口巴 ·bang
棓	eidk· 木立口 ·bang
鎊	ziwl2· 金冖方 ·bang
捠	uthb· 扌 ·bang
挷	uat_· 扌阝 ·bang
徬	wiwl2· 彳冖方 ·bang
鞤	ggkt2· 土土寸革 ·bang
幫	ggkr· 土土寸白巾 ·bang
幚	atur· 阝白巾 ·bang
幇	ggkr2· 土土寸巾 ·bang
崗	vmh_· 山冂䒑山 ·bang
塝	giw_· 土冖方 ·bang
埲	gaiu· 土㇏ ·bang
垹	gat_· 土阝 ·bang
髈	fiwl· 骨冖方 ·bang
包	nvs_· 勹巳 ·bao
报	uz_· 扌卩又 ·bao
宝	wni_· 宀王丶 ·bao
抱	unv_· 扌勹巳 ·bao
保	jde_· 亻口木 ·bao
饱	qnv_· 饣勹巳 ·bao
堡	jdeg· 亻口木土 ·bao
薄	lkn_· 艹氵甫寸 ·bao
鲍	wnv_· 鱼勹巳 ·bao
爆	col_· 火日龷八氺 ·bao
葆	ljd_· 艹亻口木 ·bao
暴	olh_· 日龷八氺 ·bao
豹	mni_· 豸勹丶 ·bao
瀑	kol_· 氵日龷八氺 ·bao
胞	vnv_· 月勹巳 ·bao
剥	bkp_· 氺刂 ·bao
褒	tjd_· 衣亻口木 ·bao
苞	lnv_· 艹勹巳 ·bao
雹	tnvs· ⻗勹巳 ·bao
孢	hnv_· 子勹巳 ·bao
煲	jdec· 亻口木火 ·bao
刨	nvp_· 勹巳刂 ·bao
曝	ool_· 日日龷八氺 ·bao
炮	cn_· 火勹巳 ·bao
褓	tjde· 衤亻口木 ·bao
鸨	vnx_· 匕十鸟 ·bao
趵	pni_· ⻊勹丶 ·bao
龅	lnvs· 齿勹巳 ·bao
宀	wg2· 宀 ·bao
勹	nkk_· 勹 ·bao
蕔	lggr· 艹土卩又 ·bao
藵	ljdt· 艹亻口木衣 ·bao
菢	lunv· 艹扌勹巳 ·bao
虣	fpsz· 一弋止虎 ·bao
蚫	cnvs2· 虫勹巳 ·bao
袌	tnvs3· 衣勹巳 ·bao
裦	tuit· 衣予丿 ·bao
襃	tude· 衣口木 ·bao
緥	ijde· 糹亻口木 ·bao
笣	rnvs2· ⺮勹巳 ·bao
窇	envs2· 穴勹巳 ·bao
賲	jdeo· 亻口木貝 ·bao
珤	naf3· 王缶 ·bao
鉋	znvs· 金勹巳 ·bao
枹	env_· 木勹巳 ·bao
曓	osmf· 日屮凵大木一 ·bao
鑤	zolk· 金日龷八氺 ·bao
铇	znvs2· 钅勹巳 ·bao
闁	aam_· 門門 ·bao
怉	hnvs2· 忄勹巳 ·bao
忁	wos_· 彳日屮凵大氺 ·bao
靌	twn_· ⻗宀王小貝 ·bao
靤	bnvs· 面勹巳 ·bao
寶	wnao· 宀王缶貝 ·bao
寳	wnxo· 宀王小貝 ·bao
寚	wnaf· 宀王缶 ·bao
宲	wde_· 宀口木 ·bao
飹	qbm2· 飠卯 ·bao
飽	qnvs2· 飠勹巳 ·bao
媬	bjde· 女亻口木 ·bao
駂	vnnm· 匕十馬 ·bao
報	ggz_· 土卩又 ·bao
堢	gjde· 土亻口木 ·bao
骲	fnv_· 骨勹巳 ·bao
髱	penv2· 镸彡勹巳 ·bao
鮑	wnvs2· 魚勹巳 ·bao
鳵	anxn· ⺄十鳥 ·bao
鴇	vnxn2· 匕十鳥 ·bao
勽	njr2· 勹人 ·bao
剝	bkpd2· 彑氺刂 ·bao
儤	jol_· 亻日龷八氺 ·bao
佨	jnvs· 亻勹巳 ·bao
齙	lnvs3· 齒勹巳 ·bao
被	tr_· 衤皮 ·bei
呗	dob_· 口贝 ·bei
背	avv_· 匕⺝ ·bei
北	av_· 匕 ·bei
倍	jid_· 亻立口 ·bei
杯	ecb_· 木不 ·bei
备	hqt_· 夂田 ·bei
贝	ob_· 贝 ·bei
碑	mut_· 石白丿十 ·bei
悲	rh_· 非心 ·bei
辈	ryc_· 非车 ·bei
蓓	ljid· 艹亻立口 ·bei
卑	utn_· 白丿十 ·bei
悖	hnw_· 忄十冖子 ·bei
钡	zob_· 钅贝 ·bei
陂	trp_· 阝皮 ·bei
碚	midk· 石立口 ·bei
焙	cidk· 火立口 ·bei
狈	mob_· 犭贝 ·bei
孛	nwhi· 十冖子 ·bei
惫	hqhx· 夂田心 ·bei
臂	cdnv· 尸口辛⺝ ·bei
褙	tav_· 衤匕⺝ ·bei
鹎	utnx· 白丿十鸟 ·bei
邶	avt_· 匕阝 ·bei
鞴	tlt_· 革龷丿 ·bei
鐾	cdnz· 尸口辛金 ·bei
椑	eut_· 木白丿十 ·bei
鞁	trp2· 革皮 ·bei
藣	lykv· 艹罒厶⺝匕 ·bei
萯	lxob· 艹⺈貝 ·bei
蛽	cob5· 虫貝 ·bei
苝	lavb2· 艹匕 ·bei
襬	tykv· 衤罒厶⺝匕 ·bei
糒	plt_· 米龷丿 ·bei
箄	rutn· ⺮白丿十 ·bei
誖	snw_· 言十冖子 ·bei
禙	fav_· 礻匕⺝ ·bei
盃	cam2· 不皿 ·bei
貝	ob2· 貝 ·bei
琲	nrf2· 王非 ·bei
珼	nob2· 王貝 ·bei
狽	mob2· 犭貝 ·bei
犕	qlt_· 牜龷丿 ·bei
牬	qtf_· 牜𠂔 ·bei
軰	avyc· 匕車 ·bei
輩	ryc2· 非車 ·bei
鄁	avvt· 匕⺝阝 ·bei
棑	erf_· 木非 ·bei
梖	eob2· 木貝 ·bei
桮	ecd_· 木不口 ·bei
鉳	zavb· 金匕 ·bei
柸	ecfi· 木不一 ·bei
杮	efr_· 木一巾 ·bei
鋇	zob2· 金貝 ·bei
昁	ofr_· 日一巾 ·bei
揹	uav_· 扌匕⺝ ·bei
鐴	zcd_· 金尸口辛 ·bei
憊	jlth· 亻龷丿心 ·bei
愂	nwhh· 十冖子力心 ·bei
韝	gqf_· 韋一冂土 ·bei
垻	gob2· 土貝 ·bei
骳	frp_· 骨皮 ·bei
唄	dob4· 口貝 ·bei
鵯	utnx2· 白丿十鳥 ·bei
僃	jlnt· 亻艹勹 ·bei
備	jlt_· 亻龷丿 ·bei
偹	jghq· 亻丨夂田 ·bei
偝	javv· 亻匕⺝ ·bei
俻	jhqt· 亻夂田 ·bei
本	ef_· 木一 ·ben
