阿	tz_· 阝可 ·a
弼	bfu_· 弓一白弓 ·bi
蔽	lfh_· 艹㡀攵 ·bi
庇	xvv_· 广匕 ·bi
毙	vvg_· 匕歹匕 ·bi
俾	jut_· 亻白丿十 ·bi
痹	aql_· 疒田丌 ·bi
敝	fhp_· 㡀攵 ·bi
鄙	dnrt· 口十囗口阝 ·bi
铋	zhtp· 钅心丿 ·bi
荜	lvvn· 艹匕十 ·bi
薜	lcd_· 艹尸口辛 ·bi
哔	dvvn· 口匕十 ·bi
吡	dvv_· 口匕 ·bi
襞	cdnt· 尸口辛衣 ·bi
陛	tvv_· 阝匕土 ·bi
毖	vvh_· 匕心丿 ·bi
辟	cdn_· 尸口辛 ·bi
婢	but_· 女白丿十 ·bi
篦	rtr_· ⺮丿囗乂匕 ·bi
秕	xvvb· 禾匕 ·bi
筚	rvv_· ⺮匕十 ·bi
濞	koql· 氵自田丌 ·bi
蓖	ltr_· 艹丿囗乂匕 ·bi
裨	tut_· 衤白丿十 ·bi
荸	lnw_· 艹十冖子 ·bi
滗	krv_· 氵⺮毛 ·bi
髀	fut_· 骨白丿十 ·bi
跸	pvvn· ⻊匕十 ·bi
秘	xht_· 禾心丿 ·bi
拂	utf_· 扌弗 ·bi
泌	kht_· 氵心丿 ·bi
匕	vb_· 匕 ·bi
愎	heo_· 忄𠂉日夊 ·bi
萆	lut_· 艹白丿十 ·bi
箅	rqlc· ⺮田丌 ·bi
妣	bvvb· 女匕 ·bi
嬖	cdnb· 尸口辛女 ·bi
狴	mvvg· 犭匕土 ·bi
畀	qlc_· 田丌 ·bi
庳	xutn2· 广白丿十 ·bi
舭	ivvb2· 舟匕 ·bi
贲	nlo_· 十艹贝 ·bi
沘	kvvb· 氵匕 ·bi
觱	nfdt· 戊一口⺈用 ·bi
诐	srp_· 讠皮 ·bi
赑	ooob· 贝贝贝 ·bi
鞁	trp2· 革皮 ·bi
鲾	wfdq2· 鱼一口田 ·bi
蓽	lqlu· 艹田艹 ·bi
蘗	lcde· 艹尸口辛木 ·bi
萞	lmjv· 艹冂人匕 ·bi
蜌	cvvg· 虫匕土 ·bi
苾	lhtp· 艹心丿 ·bi
螕	ctrv· 虫丿囗乂匕 ·bi
腷	vfdq· 月一口田 ·bi
胇	vtf3· 月弗 ·bi
肸	vhn_· 月八十 ·bi
袐	tht_· 衤心丿 ·bi
聛	qutn2· 耳白丿十 ·bi
翍	zrp2· 羽皮 ·bi
罼	yql_· 罒田艹 ·bi
襅	tql_· 衤田艹 ·bi
襣	toql· 衤自田丌 ·bi
繴	cdni2· 尸口辛糸 ·bi
縪	iqlu· 糹田艹 ·bi
綼	iut_· 糹白丿十 ·bi
紴	irp_· 糹皮 ·bi
粊	vvpm· 匕米 ·bi
粃	pvvb· 米匕 ·bi
篳	rqlu· ⺮田艹 ·bi
箆	rmjv· ⺮冂人匕 ·bi
詖	srp2· 言皮 ·bi
筆	rbv_· ⺮聿 ·bi
笓	rvvb· ⺮匕 ·bi
稫	xfdq· 禾一口田 ·bi
禆	futn2· 礻白丿十 ·bi
豍	zutn2· 豆白丿十 ·bi
皕	fuf_· 一白一白 ·bi
皀	uvb_· 白匕 ·bi
貏	mutn3· 豸白丿十 ·bi
貱	orp2· 貝皮 ·bi
痺	autn2· 疒白丿十 ·bi
賁	nlob2· 十艹貝 ·bi
疪	avvb· 疒匕 ·bi
疕	avb2· 疒匕 ·bi
畢	qlu_· 田艹 ·bi
畐	fdqt· 一口田 ·bi
畁	dlc4· 由丌 ·bi
贔	ooob2· 貝貝貝 ·bi
珌	nht_· 王心丿 ·bi
獙	mfh_· 犭㡀攵 ·bi
獘	fhm_· 㡀攵犬 ·bi
踾	pfdq· ⻊一口田 ·bi
蹕	pqlu· ⻊田艹 ·bi
躃	pcd_· ⻊尸口辛 ·bi
躄	cdnp2· 尸口辛足 ·bi
熚	cqlu· 火田艹 ·bi
煏	cfdq2· 火一口田 ·bi
潷	krbv· 氵⺮聿 ·bi
滭	kqlu· 氵田艹 ·bi
湢	kfdq· 氵一口田 ·bi
邲	htt_· 心丿阝 ·bi
鄨	fhdm· 㡀攵口巴 ·bi
鄪	tote· 弗貝阝 ·bi
毴	vrf2· 毛非 ·bi
榌	ecf_· 木飛 ·bi
楅	efdq· 木一口田 ·bi
梐	evvg· 木匕土 ·bi
鉍	zhtp3· 金心丿 ·bi
柲	ehtp· 木心丿 ·bi
柀	erp2· 木皮 ·bi
枈	vvem· 匕木 ·bi
朼	evb_· 木匕 ·bi
旇	lerp· 方𠂉皮 ·bi
斃	fhg_· 㡀攵歹匕 ·bi
鎞	ztr_· 金丿囗乂匕 ·bi
鏎	zqlu· 金田艹 ·bi
鐴	zcd_· 金尸口辛 ·bi
閇	afyb2· 門一卜 ·bi
閈	aeg2· 門干 ·bi
閉	antp2· 門丿 ·bi
閟	ahtp2· 門心丿 ·bi
愊	hfd_· 忄一口田 ·bi
闬	aeg_· 门干 ·bi
怶	hrp_· 忄皮 ·bi
怭	hhtp· 忄心丿 ·bi
彃	bqlu· 弓田艹 ·bi
弻	bfrb· 弓一囗人弓 ·bi
廦	xcd_· 广尸口辛 ·bi
鞞	tutn3· 革白丿十 ·bi
鞸	tqlu2· 革田艹 ·bi
幤	shr_· 尚攵巾 ·bi
幣	fhr_· 㡀攵巾 ·bi
韠	gql_· 韋田艹 ·bi
崥	vutn2· 山白丿十 ·bi
屄	cex_· 尸穴 ·bi
飶	qhtp· 飠心丿 ·bi
娝	bcd_· 女不口 ·bi
饆	qqlu· 飠田艹 ·bi
妼	bhtp· 女心丿 ·bi
馝	xoht· 禾日心丿 ·bi
奰	yyym· 罒罒罒大 ·bi
夶	mmd2· 大大 ·bi
駜	nhtp2· 馬心丿 ·bi
壀	gcd_· 土尸口辛 ·bi
堛	gfdq· 土一口田 ·bi
驆	nqlu· 馬田艹 ·bi
坒	vvgt· 匕土 ·bi
髲	per_· 镸彡皮 ·bi
嗶	dqlu· 口田艹 ·bi
魓	aqlu· 鬼田艹 ·bi
鮅	whtp2· 魚心丿 ·bi
啚	dnrd· 口十囗口 ·bi
鮩	whl_· 魚䒑廾 ·bi
鰏	wfdq4· 魚一口田 ·bi
咇	dht_· 口心丿 ·bi
鴓	htxn2· 心丿鳥 ·bi
鵖	ixn5· 鳥 ·bi
鶝	fdqx· 一口田鳥 ·bi
鷝	qlux· 田艹鳥 ·bi
鷩	fhxn· 㡀攵鳥 ·bi
鸊	cdnx4· 尸口辛鳥 ·bi
偪	jfdq· 亻一口田 ·bi
鼊	cdnd· 尸口辛黽 ·bi
佖	jht_· 亻心丿 ·bi
佊	jrp_· 亻皮 ·bi
变	zc_· 亠又 ·bian
边	su_· 力辶 ·bian
遍	miu_· 户辶 ·bian
便	jfo_· 亻一日 ·bian
编	imi_· 纟户 ·bian
辨	npn_· 辛 ·bian
匾	nmic· 匸户 ·bian
辩	nsn_· 讠辛 ·bian
鞭	tjf_· 革亻一日 ·bian
贬	otr_· 贝丿之 ·bian
卞	zyb_· 亠卜 ·bian
扁	mic_· 户 ·bian
辫	inn_· 纟辛 ·bian
汴	kzy_· 氵亠卜 ·bian
砭	mtr_· 石丿之 ·bian
苄	lzy_· 艹亠卜 ·bian
煸	cmi_· 火户 ·bian
忭	hzy_· 忄亠卜 ·bian
鳊	wmi_· 鱼户 ·bian
蝙	cmic· 虫户 ·bian
褊	tmi_· 衤户 ·bian
弁	klc_· 厶廾 ·bian
笾	rsu_· ⺮力辶 ·bian
碥	mmi_· 石户 ·bian
窆	etr_· 穴丿之 ·bian
缏	ijf_· 纟亻一日 ·bian
抃	uzy_· 扌亠卜 ·bian
藊	lxm_· 艹禾户 ·bian
萹	lmi_· 艹户 ·bian
艑	imic3· 舟户 ·bian
臱	oelf· 自穴方 ·bian
覍	yej3· 小見 ·bian
覵	avej3· 門月見 ·bian
緶	ijfb2· 糹亻一日 ·bian
編	imic2· 糹户 ·bian
糄	pmic2· 米户 ·bian
籩	roeu· ⺮自穴方辶 ·bian
箯	rjf_· ⺮亻一日 ·bian
稨	xmi_· 禾户 ·bian
變	siih2· 言糹糹攵 ·bian
豍	zutn2· 豆白丿十 ·bian
貶	otri2· 貝丿之 ·bian
疺	atri· 疒丿之 ·bian
玣	nzy_· 王亠卜 ·bian
獱	mwfo· 犭宀一貝 ·bian
猵	mmic2· 犭户 ·bian
牑	ami_· 片户 ·bian
辡	nnx2· 辛 ·bian
辧	npnx2· 刀辛 ·bian
辮	ninx2· 糸辛 ·bian
辯	nsnx3· 言辛 ·bian
邉	oed_· 自穴口辶 ·bian
邊	oel_· 自穴方辶 ·bian
邲	htt_· 心丿阝 ·bian
汳	kxr_· 氵⺁又 ·bian
釆	tpm_· 丿米 ·bian
昪	okl_· 日厶廾 ·bian
鍽	zmic· 金户 ·bian
揙	umi_· 扌户 ·bian
閞	akl_· 門厶廾 ·bian
惼	hmi_· 忄户 ·bian
徧	wmic2· 彳户 ·bian
鞕	tfob· 革一日 ·bian
頨	zwy2· 羽頁 ·bian
変	zchi2· 亠夊 ·bian
鯾	wjfb· 魚亻一日 ·bian
鯿	wmic3· 魚户 ·bian
鴘	klxn· 厶廾鳥 ·bian
表	ati_· 龶 ·biao
标	efs_· 木示 ·biao
彪	zes_· 虎彡 ·biao
飚	obc_· ⺇乂火火火 ·biao
裱	tat_· 衤龶 ·biao
飙	mmmb· 犬犬犬⺇乂 ·biao
镖	zvf_· 钅覀示 ·biao
婊	bat_· 女龶 ·biao
膘	vvf_· 月覀示 ·biao
骠	nvf_· 马覀示 ·biao
髟	pes_· 镸彡 ·biao
镳	zxch· 钅鹿灬 ·biao
鳔	wvfs· 鱼覀示 ·biao
瘭	avf_· 疒覀示 ·biao
飑	obn_· ⺇乂勹巳 ·biao
杓	eni_· 木勹丶 ·biao
灬	ch2· 灬 ·biao
俵	jati2· 亻龶 ·biao
摽	uvf_· 扌覀示 ·biao
瀌	kxch2· 氵鹿灬 ·biao
藨	lxch2· 艹鹿灬 ·biao
蔈	lvf_· 艹覀示 ·biao
臕	vxch· 月鹿灬 ·biao
膔	vxl2· 月鹿 ·biao
脿	vat_· 月龶 ·biao
褾	tvf_· 衤覀示 ·biao
穮	xxch· 禾鹿灬 ·biao
諘	sat_· 言龶 ·biao
磦	mvf_· 石覀示 ·biao
謤	svfs2· 言覀示 ·biao
贆	ommm· 貝犬犬犬 ·biao
猋	mmmq· 犬犬犬 ·biao
爂	pmfc2· 冂一口冖火 ·biao
熛	cvfs2· 火覀示 ·biao
滮	kze_· 氵虎彡 ·biao
淲	kzh3· 氵虎 ·biao
檦	evfp· 木覀示刂 ·biao
標	evf_· 木覀示 ·biao
錶	zat_· 金龶 ·biao
鏢	zvfs2· 金覀示 ·biao
鑣	zxch4· 金鹿灬 ·biao
幖	rvf_· 巾覀示 ·biao
颮	otcv· ⺇丿虫勹巳 ·biao
颷	otcc2· ⺇丿虫火火 ·biao
飆	mmmc· 犬犬犬⺇丿虫 ·biao
飇	otcm· ⺇丿虫犬犬犬 ·biao
飈	otcc4· ⺇丿虫火火火 ·biao
飊	cccc4· 火火火⺇丿虫 ·biao
嫑	cvbn· 不覀女 ·biao
墂	gvf_· 土覀示 ·biao
驃	nvfs2· 馬覀示 ·biao
驫	nnnm2· 馬馬馬 ·biao
骉	nnn_· 马马马 ·biao
鰾	wvfs3· 魚覀示 ·biao
麃	xch2· 鹿灬 ·biao
儦	jxch3· 亻鹿灬 ·biao
别	ds_· 口力刂 ·bie
憋	fhh_· 㡀攵心 ·bie
鳖	fhw_· 㡀攵鱼 ·bie
瘪	aoj_· 疒自仑 ·bie
蹩	fhpu· 㡀攵足 ·bie
虌	lfhd· 艹㡀攵黽 ·bie
莂	ldsp· 艹口力刂 ·bie
蛂	cnri2· 虫𠂇又丶 ·bie
苾	lhtp· 艹心丿 ·bie
蟞	fhc_· 㡀攵虫 ·bie
襒	tfh_· 衤㡀攵 ·bie
癟	aojl2· 疒自侖 ·bie
柲	ehtp· 木心丿 ·bie
徶	wfh_· 彳㡀攵 ·bie
彆	fhbg· 㡀攵弓 ·bie
咇	dht_· 口心丿 ·bie
鱉	fhwv2· 㡀攵魚 ·bie
別	dpp_· 口刀刂 ·bie
鼈	fhdm2· 㡀攵黽 ·bie
龞	fhwg· 㡀攵龜 ·bie
斌	vfps· 文一弋止 ·bin
彬	eees· 木木彡 ·bin
宾	wth_· 宀 ·bin
滨	kwth· 氵宀 ·bin
槟	ewt_· 木宀 ·bin
殡	gwth· 歹宀 ·bin
膑	vwth· 月宀 ·bin
濒	kssw· 氵止页 ·bin
鬓	pew_· 镸彡宀 ·bin
镔	zwth· 钅宀 ·bin
摈	uwt_· 扌宀 ·bin
缤	iwth· 纟宀 ·bin
髌	fwt_· 骨宀 ·bin
傧	jwth· 亻宀 ·bin
豳	vjjs· 山豕豕 ·bin
玢	nhpd· 王八刀 ·bin
赟	vfpo· 文一弋止贝 ·bin
虨	zeee· 虍木木彡 ·bin
臏	vwfo· 月宀一貝 ·bin
繽	iwfo· 糹宀一貝 ·bin
訜	shpd2· 言八刀 ·bin
豩	jjs_· 豕豕 ·bin
賓	wfso· 宀一貝 ·bin
賔	wco_· 宀貝 ·bin
贇	vfpo2· 文一弋止貝 ·bin
璸	nwfo· 王宀一貝 ·bin
瑸	nwth· 王宀 ·bin
瀕	kssw2· 氵止頁 ·bin
濵	kwco· 氵宀貝 ·bin
濱	kwfo· 氵宀一貝 ·bin
邠	hpt_· 八刀阝 ·bin
汃	khb2· 氵八 ·bin
殯	gwfo2· 歹宀一貝 ·bin
檳	ewfo· 木宀一貝 ·bin
椕	ehpe· 木八刀木 ·bin
擯	uwfo· 扌宀一貝 ·bin
鑌	zwfo· 金宀一貝 ·bin
霦	teee· ⻗木木彡 ·bin
顮	wfsw· 宀一貝頁 ·bin
髕	fwf_· 骨宀一貝 ·bin
髩	pefa· 镸彡一丨㇗㇆ ·bin
鬂	peth· 镸彡 ·bin
鬢	pewo· 镸彡宀一貝 ·bin
儐	jwfo· 亻宀一貝 ·bin
并	hl_· 䒑廾 ·bing
病	afm_· 疒一冂人 ·bing
兵	thb_·  ·bing
冰	wks_· 冫水 ·bing
炳	cfm_· 火一冂人 ·bing
丙	fmj_· 一冂人 ·bing
秉	xbj_· 禾 ·bing
饼	qhl_· 饣䒑廾 ·bing
柄	efm_· 木一冂人 ·bing
禀	zrdf· 亠囗口示 ·bing
摒	uchl· 扌尸䒑廾 ·bing
邴	fmjt· 一冂人阝 ·bing
疒	abb_· 疒 ·bing
屏	chl_· 尸䒑廾 ·bing
槟	ewt_· 木宀 ·bing
栟	ehl_· 木䒑廾 ·bing
蛃	cfmj2· 虫一冂人 ·bing
苪	lfm_· 艹一冂人 ·bing
綆	ifob2· 糹一日 ·bing
絣	ihl_· 糹䒑廾 ·bing
誁	shl_· 言䒑廾 ·bing
竝	iil_· 立立 ·bing
窉	efmj2· 穴一冂人 ·bing
稟	zrdx2· 亠囗口禾 ·bing
眪	qfmj2· 目一冂人 ·bing
癝	azrf· 疒亠囗口示 ·bing
癛	azrx· 疒亠囗口禾 ·bing
琕	nut_· 王白丿十 ·bing
氷	iks2· 丶水 ·bing
檳	ewfo· 木宀一貝 ·bing
鈵	zfm_· 金一冂人 ·bing
棅	exbj· 木禾 ·bing
梹	ethb· 木 ·bing
栤	ewks· 木冫水 ·bing
鉼	zhlc2· 金䒑廾 ·bing
昺	ofmj· 日一冂人 ·bing
昞	ofmj2· 日一冂人 ·bing
掤	uvvy· 扌月月 ·bing
抦	ufmj· 扌一冂人 ·bing
陃	tfmj· 阝一冂人 ·bing
怲	hfmj· 忄一冂人 ·bing
靐	tqtq· ⻗田⻗田⻗田 ·bing
庰	xhl_· 广䒑廾 ·bing
鞞	tutn3· 革白丿十 ·bing
幷	tet_· 丿丿干 ·bing
鞸	tqlu2· 革田艹 ·bing
屛	ctee· 尸丿丿干 ·bing
寎	waf_· 宀爿一冂人 ·bing
餅	qhlc2· 飠䒑廾 ·bing
餠	qtee· 飠丿丿干 ·bing
鮩	whl_· 魚䒑廾 ·bing
傡	jiil· 亻立立 ·bing
偋	jchl· 亻尸䒑廾 ·bing
倂	jtee· 亻丿丿干 ·bing
併	jhl_· 亻䒑廾 ·bing
仒	jwb_· 人⺀ ·bing
仌	jjr_· 人人 ·bing
並	hcy_· 䒑业 ·bing
波	krp_· 氵皮 ·bo
博	nnk_· 十甫寸 ·bo
拨	usr_· 扌又丶 ·bo
播	utp_· 扌丿米田 ·bo
搏	unk_· 扌甫寸 ·bo
伯	jub_· 亻白 ·bo
勃	nwhs· 十冖子力 ·bo
卜	ybb_· 卜 ·bo
玻	nrp_· 王皮 ·bo
泊	kub_· 氵白 ·bo
柏	eub_· 木白 ·bo
驳	nbb_· 马乂乂 ·bo
薄	lkn_· 艹氵甫寸 ·bo
剥	bkp_· 氺刂 ·bo
脖	vnw_· 月十冖子 ·bo
钵	zef_· 钅木一 ·bo
亳	gtr_· 丿七 ·bo
跛	prp_· ⻊皮 ·bo
铂	zub_· 钅白 ·bo
箔	rku_· ⺮氵白 ·bo
渤	knws· 氵十冖子力 ·bo
舶	iub_· 舟白 ·bo
帛	urj_· 白巾 ·bo
簸	rzhr· ⺮皮 ·bo
钹	znr_· 钅𠂇又丶 ·bo
啵	dkr_· 口氵皮 ·bo
擘	cdnu2· 尸口辛手 ·bo
菠	lkr_· 艹氵皮 ·bo
膊	vnk_· 月甫寸 ·bo
般	irs_· 舟殳 ·bo
魄	uag_· 白鬼 ·bo
礴	mlk_· 石艹氵甫寸 ·bo
饽	qnw_· 饣十冖子 ·bo
檗	cdne· 尸口辛木 ·bo
鹁	nwhx· 十冖子鸟 ·bo
踣	pidk· ⻊立口 ·bo
孛	nwhi· 十冖子 ·bo
掰	uhpu· 龵八刀手 ·bo
趵	pni_· ⻊勹丶 ·bo
镈	znkc· 钅甫寸 ·bo
僰	emej· 木冂木冂人 ·bo
嶓	vtpq· 山丿米田 ·bo
浡	knwh· 氵十冖子 ·bo
茀	ltf_· 艹弗 ·bo
袚	tnri· 衤𠂇又丶 ·bo
鲌	wub_· 鱼白 ·bo
蔢	lkrb· 艹氵皮女 ·bo
蔔	lnfq· 艹勹一口田 ·bo
蘗	lcde· 艹尸口辛木 ·bo
葧	lnws· 艹十冖子力 ·bo
萡	lkub· 艹氵白 ·bo
蚾	crp2· 虫皮 ·bo
苩	lub2· 艹白 ·bo
艊	iurj3· 舟白巾 ·bo
胉	vub2· 月白 ·bo
肑	vni_· 月勹丶 ·bo
袯	tsr_· 衤又丶 ·bo
袹	tfub2· 衤一白 ·bo
缽	aef_· 缶木一 ·bo
襎	ttp_· 衤丿米田 ·bo
襏	thbr· 衤癶弓殳 ·bo
襮	tol_· 衤日龷八氺 ·bo
紴	irp_· 糹皮 ·bo
糪	cdnp3· 尸口辛米 ·bo
簙	rnnk· ⺮十甫寸 ·bo
箥	rkr_· ⺮氵皮 ·bo
詙	snr_· 言𠂇又丶 ·bo
秡	xnr_· 禾𠂇又丶 ·bo
礡	mln_· 石艹甫寸 ·bo
磻	mtp_· 石丿米田 ·bo
碆	krms· 氵皮石 ·bo
砵	mef_· 石木一 ·bo
譒	stp_· 言丿米田 ·bo
豰	gwfj4· 士冖一豕殳 ·bo
盋	nria· 𠂇又丶皿 ·bo
發	hbr_· 癶弓殳 ·bo
癶	hb2· 癶 ·bo
瓟	ynvs2· 瓜勹巳 ·bo
瓝	ynid2· 瓜勹丶 ·bo
猼	mnk_· 犭甫寸 ·bo
狛	mub_· 犭白 ·bo
犻	mfr_· 犭一巾 ·bo
犦	qolk· 牜日龷八氺 ·bo
牔	ankc· 片甫寸 ·bo
蹳	phbr· ⻊癶弓殳 ·bo
煿	cnk_· 火甫寸 ·bo
潑	khbr· 氵癶弓殳 ·bo
溊	kcm_· 氵二コ又 ·bo
湐	keub· 氵木白 ·bo
淿	kur_· 氵白巾 ·bo
郣	nwht· 十冖子阝 ·bo
欂	elk_· 木艹氵甫寸 ·bo
檘	ecdn· 木尸口辛 ·bo
鈸	znri3· 金𠂇又丶 ·bo
桲	enwh· 木十冖子 ·bo
鉑	zub3· 金白 ·bo
鉢	zefi3· 金木一 ·bo
柭	enri· 木𠂇又丶 ·bo
鋍	znwh2· 金十冖子 ·bo
鎛	znkc2· 金甫寸 ·bo
撥	uhbr· 扌癶弓殳 ·bo
挬	unwh· 扌十冖子 ·bo
鑮	zlk_· 金艹氵甫寸 ·bo
懪	holk· 忄日龷八氺 ·bo
愽	hnk_· 忄甫寸 ·bo
彴	wnid3· 彳勹丶 ·bo
帗	rnri· 巾𠂇又丶 ·bo
孹	cdnh· 尸口辛子 ·bo
餑	qnwh2· 飠十冖子 ·bo
餺	qnkc2· 飠甫寸 ·bo
馎	qnk_· 饣甫寸 ·bo
妭	bnri· 女𠂇又丶 ·bo
馛	xoni· 禾日𠂇又丶 ·bo
馞	xon_· 禾日十冖子 ·bo
駁	nbbi2· 馬乂乂 ·bo
駮	nabi2· 馬六乂 ·bo
壆	pbbg2· 乂乂冖土 ·bo
驋	nhbr· 馬癶弓殳 ·bo
髆	fnkc2· 骨甫寸 ·bo
髉	fwu_· 骨冖隹 ·bo
嚗	dol_· 口日龷八氺 ·bo
噃	dtp_· 口丿米田 ·bo
鮁	wnri3· 魚𠂇又丶 ·bo
鮊	wub2· 魚白 ·bo
哱	dnwh· 口十冖子 ·bo
鱍	whbr· 魚癶弓殳 ·bo
鵓	nwhx2· 十冖子鳥 ·bo
剝	bkpd2· 彑氺刂 ·bo
僠	jtpq· 亻丿米田 ·bo
侼	jnwh· 亻十冖子 ·bo
仢	jni_· 亻勹丶 ·bo
不	c_· 不 ·bu
部	id_· 立口阝 ·bu
补	tyb_· 衤卜 ·bu
步	ssi_· 止 ·bu
布	nrj_· 𠂇巾 ·bu
卜	ybb_· 卜 ·bu
簿	rkn_· ⺮氵甫寸 ·bu
埠	gtk_· 土丿㠯十 ·bu
捕	unf_· 扌甫 ·bu
钚	zcb2· 钅不 ·bu
哺	dnf_· 口甫 ·bu
卟	dyb_· 口卜 ·bu
逋	nuc_· 甫辶 ·bu
怖	hnr_· 忄𠂇巾 ·bu
堡	jdeg· 亻口木土 ·bu
埔	gnf_· 土甫 ·bu
晡	onf_· 日甫 ·bu
瓿	idr_· 立口瓦 ·bu
醭	ycgi· 酉业⺶㇏ ·bu
钸	znrj· 钅𠂇巾 ·bu
蔀	lidt· 艹立口阝 ·bu
荹	lssi· 艹止 ·bu
補	tnf_· 衤甫 ·bu
篰	ridt· ⺮立口阝 ·bu
箁	ridk· ⺮立口 ·bu
誧	snf2· 言甫 ·bu
秿	xnf2· 禾甫 ·bu
獛	mcgi· 犭业⺶㇏ ·bu
踄	pssi· ⻊止 ·bu
輹	yeo_· 車𠂉日夊 ·bu
轐	ycgi2· 車业⺶㇏ ·bu
郶	iddm· 立口口巴 ·bu
歩	syt_· 止𡭔丿 ·bu
歨	ssi2· 止龰 ·bu
鈈	zcb3· 金不 ·bu
鈽	znrj2· 金𠂇巾 ·bu
柨	enrj· 木𠂇巾 ·bu
撲	ucg_· 扌业⺶㇏ ·bu
捗	ussi· 扌止 ·bu
抪	unrj· 扌𠂇巾 ·bu
陠	tnf2· 阝甫 ·bu
悑	hnf2· 忄甫 ·bu
廍	xidt· 广立口阝 ·bu
庯	xnf_· 广甫 ·bu
巭	ush_· 工力夫 ·bu
峬	vnf2· 山甫 ·bu
尃	nkc_· 甫寸 ·bu
餔	qnf_· 飠甫 ·bu
餢	qidk2· 飠立口 ·bu
婄	bidk· 女立口 ·bu
埗	gssi· 土止 ·bu
咘	dnrj2· 口𠂇巾 ·bu
吥	dcb_· 口不 ·bu
鳪	yxn_· 卜鳥 ·bu
鵏	nxn5· 甫鳥 ·bu
勏	ids_· 立口力 ·bu
鸔	xol_· 鳥日龷八氺 ·bu
佈	jnr_· 亻𠂇巾 ·bu
㔜	yhsl· 爫子力 ·ba
㖠	dmfs· 口大示 ·ba
㞎	cmb_· 尸巴 ·ba
㧊	ufrj· 扌一巾 ·ba
㶚	kvt_· 氵覀革月 ·ba
䃻	mttv· 石⻗革月 ·ba
䆉	xyk_· 禾罒厶⺝匕 ·ba
䇑	iutn2· 立白丿十 ·ba
䎬	aygk· 耒罒土厶 ·ba
䎱	aykv· 耒罒厶⺝匕 ·ba
䟦	ptn_· ⻊丿𠂇又 ·ba
䥯	zykv· 金罒厶⺝匕 ·ba
䩗	tvy3· 革月 ·ba
䩻	tnm5· 革馬 ·ba
䰾	wmb2· 魚巴 ·ba
䱝	wutn· 魚白丿十 ·ba
䳁	xnri2· 鳥𠂇又丶 ·ba
䳊	nrix· 𠂇又丶鳥 ·ba
㗑	duf_· 口龵一丰 ·bai
㗗	dsu_· 口力白丿十 ·bai
㠔	vcdn· 山尸口辛 ·bai
㼟	urw3· 白瓦 ·bai
㿟	uub2· 白白 ·bai
䒔	lhb2· 艹八 ·bai
䙓	tygk· 衤罒土厶 ·bai
䢙	ouc3· 貝辶 ·bai
䥯	zykv· 金罒厶⺝匕 ·bai
䳆	uxn4· 白鳥 ·bai
䴽	ejjn2· 木人人夂白丿十 ·bai
㚘	hhf3· 夫夫 ·ban
㩯	ueki· 扌𠂉母攵糸 ·ban
㪵	huj_· 丷斗 ·ban
㸞	aap2· 片片 ·ban
㺜	myfc· 犭曲辰 ·ban
䉽	phus2· 米丷 ·ban
䕰	lct_· 艹火丿米田 ·ban
䬳	qhus3· 飠丷 ·ban
㔙	hlsl· 䒑廾力 ·bang
㭋	eaf2· 木丰 ·bang
㮄	ezn_· 木亠勹方 ·bang
㯁	etid2· 木阝立口 ·bang
㾦	aidk· 疒立口 ·bang
䂜	maf_· 石丰 ·bang
䎧	aidk3· 耒立口 ·bang
䖫	cheg· 虫八干 ·bang
䟺	pob3· ⻊貝 ·bang
䧛	tiwl· 阝冖方 ·bang
䰷	waf2· 魚丰 ·bang
㙅	gdem· 土口木 ·bao
㙸	gjc_· 土亻业⺶㇏ ·bao
㫧	opm_· 日米 ·bao
㲏	avm3· 片毛 ·bao
㲒	gvm3· 句毛 ·bao
㵡	ktnv· 氵⻗勹巳 ·bao
㻄	ntts· 王丿疋 ·bao
㿺	olhr· 日龷八氺皮 ·bao
䈏	rfdq2· ⺮一口田 ·bao
䎂	znvs3· 羽勹巳 ·bao
䤖	yolk· 酉日龷八氺 ·bao
䥤	ztn_· 金⻗勹巳 ·bao
䨌	tmpe2· ⻗二儿 ·bao
䨔	tmg2· ⻗光 ·bao
䪨	xnid2· 音勹丶 ·bao
䭋	qjde· 飠亻口木 ·bao
䳈	xnvs3· 鳥勹巳 ·bao
䳰	jdex· 亻口木鳥 ·bao
䴐	wnax· 宀王缶貝鳥 ·bao
㓈	wms3· 冫石 ·bei
㔨	navv· 勹匕⺝ ·bei
㛝	bob3· 女貝 ·bei
㣁	blt_· 弓龷丿 ·bei
㤳	hcd_· 忄不口 ·bei
㰆	ndwe5· 十口冖非木 ·bei
㱯	gvzd2· 歹山豆 ·bei
㶔	kyym· 氵罒罒罒大 ·bei
㷶	jltc· 亻龷丿灬 ·bei
㸢	alt_· 片龷丿 ·bei
㸬	qfr_· 牜一巾 ·bei
㸽	qob2· 牜貝 ·bei
㻗	rnid2· 非王丶 ·bei
㼎	yabi3· 瓜六乂 ·bei
㾱	ahmp· 疒癶二儿 ·bei
䁅	qham· 目子皿 ·bei
䋳	iavv· 糹匕⺝ ·bei
䔒	ltid· 艹阝立口 ·bei
䟺	pob3· ⻊貝 ·bei
䠙	piwl· ⻊冖方 ·bei
䡶	ycd_· 車尸口辛 ·bei
䩀	rob2· 非貝 ·bei
䰽	wfrj3· 魚一巾 ·bei
㡷	xef_· 广木一 ·ben
㤓	hef_· 忄木一 ·ben
